identity_line_item_id,identity_time_interval,bill_invoice_id,bill_billing_entity,bill_bill_type,bill_payer_account_id,bill_billing_period_start_date,bill_billing_period_end_date,line_item_usage_account_id,line_item_line_item_type,line_item_usage_start_date,line_item_usage_end_date,line_item_product_code,line_item_usage_type,line_item_operation,line_item_availability_zone,line_item_resource_id,line_item_usage_amount,line_item_normalization_factor,line_item_normalized_usage_amount,line_item_currency_code,line_item_unblended_rate,line_item_unblended_cost,line_item_blended_rate,line_item_blended_cost,line_item_line_item_description,product_product_name,product_instance_type,product_region,product_availability_zone,product_tenancy,product_operating_system,product_service_code,resource_tags_user_team,resource_tags_user_environment,resource_tags_user_project,pricing_public_on_demand_cost,pricing_public_on_demand_rate,pricing_term,pricing_unit,reservation_reservation_a_r_n,reservation_effective_cost,reservation_recurring_fee_for_usage,savings_plan_savings_plan_a_r_n,savings_plan_savings_plan_effective_cost,savings_plan_used_commitment
11,2026-02-02T00:00:00Z/2026-02-02T23:59:59Z,I-0TMPJI8UHOOJPCHS,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-02 22:30:29,2026-02-03 22:30:29,AmazonEC2,BoxUsage:c5.xlarge,RunInstances,us-east-1c,arn:aws:ec2:us-east-1:123456789012:instance/i-eamdul4u9s5ebpv1,16.25940936,1,16.25940936,USD,0.1700000000,2.4879508400,0.1700000000,2.4879508400,Amazon Elastic Compute Cloud BoxUsage:c5.xlarge,Amazon Elastic Compute Cloud,c5.xlarge,us-east-1,us-east-1c,Shared,Linux,AmazonEC2,ml,staging,cloudspire,2.4879508400,0.1700000000,OnDemand,Hrs,,,,,,
12,2026-02-02T00:00:00Z/2026-02-02T23:59:59Z,I-YU2CGICJVI1S33Q0,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-02 22:30:29,2026-02-03 22:30:29,AmazonS3,TimedStorage-ByteHrs,StandardStorage,ap-south-1a,,23.30892970,1,23.30892970,USD,0.0000315068,0.0006449800,0.0000315068,0.0006449800,Amazon Simple Storage Service TimedStorage-ByteHrs,Amazon Simple Storage Service,,ap-south-1,ap-south-1a,Shared,,AmazonS3,platform,development,web-portal,0.0006449800,0.0000315068,OnDemand,Hrs,,,,,,
13,2026-02-02T00:00:00Z/2026-02-02T23:59:59Z,I-656983S7LO8KZTF1,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-02 22:30:29,2026-02-03 22:30:29,AmazonRDS,InstanceUsage:db.t3.medium,CreateDBInstance:0014,ap-south-1a,arn:aws:ec2:ap-south-1:123456789012:instance/i-9d2fd4kysqtczd1b,23.52678637,1,23.52678637,USD,0.0680000000,1.7340152300,0.0680000000,1.7340152300,Amazon Relational Database Service InstanceUsage:db.t3.medium,Amazon Relational Database Service,db.t3.medium,ap-south-1,ap-south-1a,Shared,Linux,AmazonRDS,backend,production,ml-inference,1.7340152300,0.0680000000,OnDemand,Hrs,,,,,,
14,2026-02-02T00:00:00Z/2026-02-02T23:59:59Z,I-Y6PJ6I1Z4ISCQH2T,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-02 22:30:29,2026-02-03 22:30:29,AmazonCloudFront,DataTransfer-Out-Bytes,HttpTransferOut,us-east-1b,,23.57618956,1,23.57618956,USD,0.0000116438,0.0002900200,0.0000116438,0.0002900200,Amazon CloudFront DataTransfer-Out-Bytes,Amazon CloudFront,,us-east-1,us-east-1b,Shared,,AmazonCloudFront,frontend,production,ml-inference,0.0002900200,0.0000116438,OnDemand,Hrs,,,,,,
15,2026-02-02T00:00:00Z/2026-02-02T23:59:59Z,I-YA4EQUBGMYBXYBHY,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-02 22:30:29,2026-02-03 22:30:29,AWSLambda,Lambda-GB-Second,Invoke,ap-south-1a,,23.28359704,1,23.28359704,USD,0.0600001200,1.4081992100,0.0600001200,1.4081992100,AWS Lambda Lambda-GB-Second,AWS Lambda,,ap-south-1,ap-south-1a,Shared,,AWSLambda,backend,staging,ml-inference,1.4081992100,0.0600001200,OnDemand,Hrs,,,,,,
16,2026-02-02T00:00:00Z/2026-02-02T23:59:59Z,I-C9GOFT3F2MAT0YQN,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-02 22:30:29,2026-02-03 22:30:29,AmazonDynamoDB,ReadCapacityUnit-Hrs,PayPerRequestThroughput,ap-south-1b,,23.53057502,1,23.53057502,USD,0.0000650000,0.0013703800,0.0000650000,0.0013703800,Amazon DynamoDB ReadCapacityUnit-Hrs,Amazon DynamoDB,,ap-south-1,ap-south-1b,Shared,,AmazonDynamoDB,backend,staging,data-pipeline,0.0013703800,0.0000650000,OnDemand,Hrs,,,,,,
17,2026-02-02T00:00:00Z/2026-02-02T23:59:59Z,I-C577SQFTFXTWE5PI,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-02 22:30:29,2026-02-03 22:30:29,AmazonElastiCache,NodeUsage:cache.t3.micro,CreateCacheCluster,ap-south-1a,arn:aws:ec2:ap-south-1:123456789012:instance/i-uyrdtie568j8ijud,22.97833966,1,22.97833966,USD,0.0170000000,0.4337953000,0.0170000000,0.4337953000,Amazon ElastiCache NodeUsage:cache.t3.micro,Amazon ElastiCache,cache.t3.micro,ap-south-1,ap-south-1a,Shared,Linux,AmazonElastiCache,backend,staging,ml-inference,0.4337953000,0.0170000000,OnDemand,Hrs,,,,,,
18,2026-02-02T00:00:00Z/2026-02-02T23:59:59Z,I-MTXW4NLBM51W25PK,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-02 22:30:29,2026-02-03 22:30:29,AWSDataTransfer,InterRegion-Out-Bytes,InterregionOut,us-east-1c,,23.23355661,1,23.23355661,USD,0.0000273973,0.0006613900,0.0000273973,0.0006613900,AWS Data Transfer InterRegion-Out-Bytes,AWS Data Transfer,,us-east-1,us-east-1c,Shared,,AWSDataTransfer,platform,production,web-portal,0.0006613900,0.0000273973,OnDemand,Hrs,,,,,,
19,2026-02-03T00:00:00Z/2026-02-03T23:59:59Z,I-VVXA6454D6DUFOZQ,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-03 22:30:29,2026-02-04 22:30:29,AmazonEC2,BoxUsage:t3.medium,RunInstances,ap-south-1b,arn:aws:ec2:ap-south-1:123456789012:instance/i-cuj0xq43og9tljwk,25.08329181,1,25.08329181,USD,0.0416000000,0.9569166500,0.0416000000,0.9569166500,Amazon Elastic Compute Cloud BoxUsage:t3.medium,Amazon Elastic Compute Cloud,t3.medium,ap-south-1,ap-south-1b,Shared,Linux,AmazonEC2,backend,production,web-portal,0.9569166500,0.0416000000,OnDemand,Hrs,,,,,,
20,2026-02-03T00:00:00Z/2026-02-03T23:59:59Z,I-4JJXSM07OJ45VVYR,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-03 22:30:29,2026-02-04 22:30:29,AmazonEC2,BoxUsage:m5.large,RunInstances,us-east-1b,arn:aws:ec2:us-east-1:123456789012:instance/i-8plnmofsiiyfagbk,23.53146695,1,23.53146695,USD,0.0960000000,2.4991909900,0.0960000000,2.4991909900,Amazon Elastic Compute Cloud BoxUsage:m5.large,Amazon Elastic Compute Cloud,m5.large,us-east-1,us-east-1b,Shared,Linux,AmazonEC2,backend,staging,api-gateway,2.4991909900,0.0960000000,OnDemand,Hrs,,,,,,
21,2026-02-03T00:00:00Z/2026-02-03T23:59:59Z,I-66D7G04244IJJZP6,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-03 22:30:29,2026-02-04 22:30:29,AmazonEC2,BoxUsage:c5.xlarge,RunInstances,us-east-1b,arn:aws:ec2:us-east-1:123456789012:instance/i-axfy6o4sdztse1yq,16.57693956,1,16.57693956,USD,0.1700000000,2.7127637800,0.1700000000,2.7127637800,Amazon Elastic Compute Cloud BoxUsage:c5.xlarge,Amazon Elastic Compute Cloud,c5.xlarge,us-east-1,us-east-1b,Shared,Linux,AmazonEC2,ml,staging,api-gateway,2.7127637800,0.1700000000,OnDemand,Hrs,,,,,,
22,2026-02-03T00:00:00Z/2026-02-03T23:59:59Z,I-USS46Q99NE6DDQUR,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-03 22:30:29,2026-02-04 22:30:29,AmazonS3,TimedStorage-ByteHrs,StandardStorage,ap-south-1b,,23.65455140,1,23.65455140,USD,0.0000315068,0.0007764200,0.0000315068,0.0007764200,Amazon Simple Storage Service TimedStorage-ByteHrs,Amazon Simple Storage Service,,ap-south-1,ap-south-1b,Shared,,AmazonS3,platform,development,data-pipeline,0.0007764200,0.0000315068,OnDemand,Hrs,,,,,,
23,2026-02-03T00:00:00Z/2026-02-03T23:59:59Z,I-MJ08TT41DW6GRYFB,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-03 22:30:29,2026-02-04 22:30:29,AmazonRDS,InstanceUsage:db.t3.medium,CreateDBInstance:0014,ap-south-1a,arn:aws:ec2:ap-south-1:123456789012:instance/i-kypdvrsczlyt59vi,23.37804399,1,23.37804399,USD,0.0680000000,1.5331373500,0.0680000000,1.5331373500,Amazon Relational Database Service InstanceUsage:db.t3.medium,Amazon Relational Database Service,db.t3.medium,ap-south-1,ap-south-1a,Shared,Linux,AmazonRDS,backend,development,cloudspire,1.5331373500,0.0680000000,OnDemand,Hrs,,,,,,
24,2026-02-03T00:00:00Z/2026-02-03T23:59:59Z,I-5J6ZWATAUVRRY6SZ,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-03 22:30:29,2026-02-04 22:30:29,AmazonCloudFront,DataTransfer-Out-Bytes,HttpTransferOut,us-east-1c,,23.50797331,1,23.50797331,USD,0.0000116438,0.0002699200,0.0000116438,0.0002699200,Amazon CloudFront DataTransfer-Out-Bytes,Amazon CloudFront,,us-east-1,us-east-1c,Shared,,AmazonCloudFront,frontend,development,ml-inference,0.0002699200,0.0000116438,OnDemand,Hrs,,,,,,
25,2026-02-03T00:00:00Z/2026-02-03T23:59:59Z,I-MWONFSJ8158UQYEW,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-03 22:30:29,2026-02-04 22:30:29,AmazonDynamoDB,ReadCapacityUnit-Hrs,PayPerRequestThroughput,ap-south-1b,,24.27001490,1,24.27001490,USD,0.0000650000,0.0014935800,0.0000650000,0.0014935800,Amazon DynamoDB ReadCapacityUnit-Hrs,Amazon DynamoDB,,ap-south-1,ap-south-1b,Shared,,AmazonDynamoDB,backend,development,api-gateway,0.0014935800,0.0000650000,OnDemand,Hrs,,,,,,
26,2026-02-03T00:00:00Z/2026-02-03T23:59:59Z,I-21K9BLEY8B2NOY6B,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-03 22:30:29,2026-02-04 22:30:29,AmazonElastiCache,NodeUsage:cache.t3.micro,CreateCacheCluster,ap-south-1a,arn:aws:ec2:ap-south-1:123456789012:instance/i-eodjkzybkhfybmiy,23.52751927,1,23.52751927,USD,0.0170000000,0.3630109400,0.0170000000,0.3630109400,Amazon ElastiCache NodeUsage:cache.t3.micro,Amazon ElastiCache,cache.t3.micro,ap-south-1,ap-south-1a,Shared,Linux,AmazonElastiCache,backend,development,cloudspire,0.3630109400,0.0170000000,OnDemand,Hrs,,,,,,
27,2026-02-03T00:00:00Z/2026-02-03T23:59:59Z,I-X69516XPSQG642ZH,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-03 22:30:29,2026-02-04 22:30:29,AWSDataTransfer,InterRegion-Out-Bytes,InterregionOut,us-east-1a,,23.10896405,1,23.10896405,USD,0.0000273973,0.0006596500,0.0000273973,0.0006596500,AWS Data Transfer InterRegion-Out-Bytes,AWS Data Transfer,,us-east-1,us-east-1a,Shared,,AWSDataTransfer,platform,development,api-gateway,0.0006596500,0.0000273973,OnDemand,Hrs,,,,,,
28,2026-02-04T00:00:00Z/2026-02-04T23:59:59Z,I-COEPU3SE31UM7Q8F,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-04 22:30:29,2026-02-05 22:30:29,AmazonEC2,BoxUsage:t3.medium,RunInstances,ap-south-1a,arn:aws:ec2:ap-south-1:123456789012:instance/i-bfvbqwtigypaysw7,24.17528886,1,24.17528886,USD,0.0416000000,0.9214830900,0.0416000000,0.9214830900,Amazon Elastic Compute Cloud BoxUsage:t3.medium,Amazon Elastic Compute Cloud,t3.medium,ap-south-1,ap-south-1a,Shared,Linux,AmazonEC2,backend,development,cloudspire,0.9214830900,0.0416000000,OnDemand,Hrs,,,,,,
29,2026-02-04T00:00:00Z/2026-02-04T23:59:59Z,I-7UL2ZUPUQ8TEK64L,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-04 22:30:29,2026-02-05 22:30:29,AmazonEC2,BoxUsage:c5.xlarge,RunInstances,us-east-1b,arn:aws:ec2:us-east-1:123456789012:instance/i-eym1xtjdycd6lwgq,15.58659170,1,15.58659170,USD,0.1700000000,2.9274181000,0.1700000000,2.9274181000,Amazon Elastic Compute Cloud BoxUsage:c5.xlarge,Amazon Elastic Compute Cloud,c5.xlarge,us-east-1,us-east-1b,Shared,Linux,AmazonEC2,ml,development,api-gateway,2.9274181000,0.1700000000,OnDemand,Hrs,,,,,,
30,2026-02-04T00:00:00Z/2026-02-04T23:59:59Z,I-AVIN7TGPT2LLR9D0,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-04 22:30:29,2026-02-05 22:30:29,AmazonRDS,InstanceUsage:db.t3.medium,CreateDBInstance:0014,ap-south-1a,arn:aws:ec2:ap-south-1:123456789012:instance/i-vcbgdwp91rpmj1im,24.06354292,1,24.06354292,USD,0.0680000000,1.5384578600,0.0680000000,1.5384578600,Amazon Relational Database Service InstanceUsage:db.t3.medium,Amazon Relational Database Service,db.t3.medium,ap-south-1,ap-south-1a,Shared,Linux,AmazonRDS,backend,staging,web-portal,1.5384578600,0.0680000000,OnDemand,Hrs,,,,,,
31,2026-02-04T00:00:00Z/2026-02-04T23:59:59Z,I-QX2LACTGUIGY4C46,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-04 22:30:29,2026-02-05 22:30:29,AmazonCloudFront,DataTransfer-Out-Bytes,HttpTransferOut,us-east-1a,,23.50986726,1,23.50986726,USD,0.0000116438,0.0002688400,0.0000116438,0.0002688400,Amazon CloudFront DataTransfer-Out-Bytes,Amazon CloudFront,,us-east-1,us-east-1a,Shared,,AmazonCloudFront,frontend,staging,cloudspire,0.0002688400,0.0000116438,OnDemand,Hrs,,,,,,
32,2026-02-04T00:00:00Z/2026-02-04T23:59:59Z,I-PKWZQT0JEC2OZ65I,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-04 22:30:29,2026-02-05 22:30:29,AWSLambda,Lambda-GB-Second,Invoke,ap-south-1b,,23.72640554,1,23.72640554,USD,0.0600001200,1.4121247300,0.0600001200,1.4121247300,AWS Lambda Lambda-GB-Second,AWS Lambda,,ap-south-1,ap-south-1b,Shared,,AWSLambda,backend,production,cloudspire,1.4121247300,0.0600001200,OnDemand,Hrs,,,,,,
33,2026-02-04T00:00:00Z/2026-02-04T23:59:59Z,I-FRNC3X58K8GSS2EZ,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-04 22:30:29,2026-02-05 22:30:29,AmazonDynamoDB,ReadCapacityUnit-Hrs,PayPerRequestThroughput,ap-south-1a,,24.10020570,1,24.10020570,USD,0.0000650000,0.0017360600,0.0000650000,0.0017360600,Amazon DynamoDB ReadCapacityUnit-Hrs,Amazon DynamoDB,,ap-south-1,ap-south-1a,Shared,,AmazonDynamoDB,backend,production,cloudspire,0.0017360600,0.0000650000,OnDemand,Hrs,,,,,,
34,2026-02-04T00:00:00Z/2026-02-04T23:59:59Z,I-K3TZKEL3L5M27EEA,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-04 22:30:29,2026-02-05 22:30:29,AmazonElastiCache,NodeUsage:cache.t3.micro,CreateCacheCluster,ap-south-1b,arn:aws:ec2:ap-south-1:123456789012:instance/i-myzh7x0kpembazlv,24.34178084,1,24.34178084,USD,0.0170000000,0.3539967700,0.0170000000,0.3539967700,Amazon ElastiCache NodeUsage:cache.t3.micro,Amazon ElastiCache,cache.t3.micro,ap-south-1,ap-south-1b,Shared,Linux,AmazonElastiCache,backend,development,cloudspire,0.3539967700,0.0170000000,OnDemand,Hrs,,,,,,
35,2026-02-05T00:00:00Z/2026-02-05T23:59:59Z,I-WILMXUWSU42N4RXI,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-05 22:30:29,2026-02-06 22:30:29,AmazonEC2,BoxUsage:t3.medium,RunInstances,ap-south-1b,arn:aws:ec2:ap-south-1:123456789012:instance/i-f5xjzb9vqq47schb,23.89904521,1,23.89904521,USD,0.0416000000,0.8758022400,0.0416000000,0.8758022400,Amazon Elastic Compute Cloud BoxUsage:t3.medium,Amazon Elastic Compute Cloud,t3.medium,ap-south-1,ap-south-1b,Shared,Linux,AmazonEC2,backend,development,ml-inference,0.8758022400,0.0416000000,OnDemand,Hrs,,,,,,
36,2026-02-05T00:00:00Z/2026-02-05T23:59:59Z,I-R5W6IZJMBAX6IXWC,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-05 22:30:29,2026-02-06 22:30:29,AmazonEC2,BoxUsage:c5.xlarge,RunInstances,us-east-1a,arn:aws:ec2:us-east-1:123456789012:instance/i-ajbcxuuv0nwklxbf,15.56295578,1,15.56295578,USD,0.1700000000,2.5570590900,0.1700000000,2.5570590900,Amazon Elastic Compute Cloud BoxUsage:c5.xlarge,Amazon Elastic Compute Cloud,c5.xlarge,us-east-1,us-east-1a,Shared,Linux,AmazonEC2,ml,staging,api-gateway,2.5570590900,0.1700000000,OnDemand,Hrs,,,,,,
